,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"channel_contribution_original_scale[2022-02-06T00:00:00.000000000, digital_spend]",826.232,832.905,1.508,2155.741,17.647,13.201,1562.698,907.124,0.999
"channel_contribution_original_scale[2022-02-06T00:00:00.000000000, social_spend]",1400.781,1253.765,1.753,3379.157,34.677,24.526,849.965,846.688,1.001
"channel_contribution_original_scale[2022-02-06T00:00:00.000000000, search_spend]",2960.338,1782.198,4.082,5983.873,49.517,35.021,1150.824,1014.855,1.0
"channel_contribution_original_scale[2022-02-06T00:00:00.000000000, radio_spend]",771.794,613.156,2.269,1873.844,13.147,9.297,1542.209,1146.184,1.0
"channel_contribution_original_scale[2022-02-13T00:00:00.000000000, tv_spend]",1374.009,1271.163,0.319,3658.597,32.364,24.316,1353.064,1123.981,1.001
"channel_contribution_original_scale[2022-02-13T00:00:00.000000000, digital_spend]",629.745,685.102,0.424,1640.214,14.815,10.833,1577.278,918.852,0.999
"channel_contribution_original_scale[2022-02-13T00:00:00.000000000, social_spend]",1760.406,1430.363,12.914,4046.628,40.672,28.766,839.871,835.324,1.001
"channel_contribution_original_scale[2022-02-13T00:00:00.000000000, search_spend]",2584.109,1770.828,2.593,5692.579,48.196,34.087,1132.812,1060.085,1.0
"channel_contribution_original_scale[2022-02-13T00:00:00.000000000, radio_spend]",705.659,586.085,1.809,1751.611,12.9,9.123,1512.156,1203.391,1.0
"channel_contribution_original_scale[2022-02-20T00:00:00.000000000, tv_spend]",1640.541,1332.996,0.371,3994.307,33.862,25.254,1367.936,1126.631,1.001
"channel_contribution_original_scale[2022-02-20T00:00:00.000000000, digital_spend]",1086.774,912.87,0.678,2538.544,19.405,14.106,1521.254,813.589,0.999
"channel_contribution_original_scale[2022-02-20T00:00:00.000000000, social_spend]",1806.696,1488.254,2.443,4205.05,42.346,29.95,836.666,846.688,1.001
"channel_contribution_original_scale[2022-02-20T00:00:00.000000000, search_spend]",2688.629,1810.675,3.098,5903.216,48.249,34.124,1183.434,1042.178,1.0
"channel_contribution_original_scale[2022-02-20T00:00:00.000000000, radio_spend]",636.937,549.804,1.53,1597.394,12.094,8.553,1532.175,1159.564,1.0
"channel_contribution_original_scale[2022-02-27T00:00:00.000000000, tv_spend]",1554.121,1303.594,0.358,3813.432,33.182,24.836,1366.13,1181.013,1.001
"channel_contribution_original_scale[2022-02-27T00:00:00.000000000, digital_spend]",917.425,833.734,0.604,2231.176,17.571,13.027,1535.021,870.524,0.999
"channel_contribution_original_scale[2022-02-27T00:00:00.000000000, social_spend]",1718.563,1471.484,2.151,4087.003,41.194,29.135,841.781,848.012,1.001
"channel_contribution_original_scale[2022-02-27T00:00:00.000000000, search_spend]",2228.607,1683.192,2.121,5260.485,44.014,31.129,1160.463,1061.65,1.0
"channel_contribution_original_scale[2022-02-27T00:00:00.000000000, radio_spend]",860.505,700.402,2.29,2141.485,15.26,10.792,1514.776,1173.66,1.0
"channel_contribution_original_scale[2022-03-06T00:00:00.000000000, tv_spend]",875.904,1078.188,0.181,2881.603,27.589,21.541,1350.79,1228.112,1.0
"channel_contribution_original_scale[2022-03-06T00:00:00.000000000, digital_spend]",1237.421,1006.798,0.818,2910.313,21.57,15.485,1516.41,820.864,0.999
"channel_contribution_original_scale[2022-03-06T00:00:00.000000000, social_spend]",1691.435,1459.225,2.1,4071.315,40.661,28.758,849.779,848.012,1.001
"channel_contribution_original_scale[2022-03-06T00:00:00.000000000, search_spend]",2214.147,1539.699,2.079,4964.495,40.008,28.296,1211.273,1030.872,1.0
"channel_contribution_original_scale[2022-03-06T00:00:00.000000000, radio_spend]",344.899,426.246,0.374,1116.901,9.658,6.83,1508.9,1319.843,1.0
"channel_contribution_original_scale[2022-03-13T00:00:00.000000000, tv_spend]",853.271,944.186,0.188,2512.851,24.547,19.128,1387.423,1170.788,1.001
"channel_contribution_original_scale[2022-03-13T00:00:00.000000000, digital_spend]",1211.815,1005.929,0.832,2849.697,21.494,15.561,1519.313,835.987,0.999
"channel_contribution_original_scale[2022-03-13T00:00:00.000000000, social_spend]",1949.182,1552.508,14.301,4498.7,44.421,31.418,841.543,858.611,1.0
"channel_contribution_original_scale[2022-03-13T00:00:00.000000000, search_spend]",2118.056,1509.172,1.965,4828.882,39.064,27.628,1208.21,1059.611,1.0
"channel_contribution_original_scale[2022-03-13T00:00:00.000000000, radio_spend]",233.375,312.065,0.289,741.841,6.841,4.928,1692.593,1203.56,1.001
"channel_contribution_original_scale[2022-03-20T00:00:00.000000000, tv_spend]",1317.925,1071.315,0.33,3068.328,27.388,21.016,1399.964,1126.631,1.001
"channel_contribution_original_scale[2022-03-20T00:00:00.000000000, digital_spend]",1012.733,902.613,0.697,2461.106,19.118,14.129,1534.819,879.399,0.999
"channel_contribution_original_scale[2022-03-20T00:00:00.000000000, social_spend]",3087.339,1913.894,6.417,6305.952,61.048,43.18,793.279,913.819,1.002
"channel_contribution_original_scale[2022-03-20T00:00:00.000000000, search_spend]",2278.88,1493.41,2.129,4934.927,39.078,27.638,1237.44,1019.429,1.0
"channel_contribution_original_scale[2022-03-20T00:00:00.000000000, radio_spend]",589.599,491.313,1.662,1448.12,10.288,7.365,1608.491,1145.194,1.0
"channel_contribution_original_scale[2022-03-27T00:00:00.000000000, tv_spend]",2026.076,1418.072,0.427,4411.857,35.482,25.708,1367.737,1063.182,1.001
"channel_contribution_original_scale[2022-03-27T00:00:00.000000000, digital_spend]",724.543,737.924,0.494,1835.867,15.802,11.64,1559.254,914.699,0.999
"channel_contribution_original_scale[2022-03-27T00:00:00.000000000, social_spend]",2125.277,1792.587,2.291,5160.388,51.771,36.617,831.25,880.367,1.0
"channel_contribution_original_scale[2022-03-27T00:00:00.000000000, search_spend]",1912.895,1319.395,1.838,4243.689,34.962,24.727,1178.381,1048.95,1.0
"channel_contribution_original_scale[2022-03-27T00:00:00.000000000, radio_spend]",357.494,359.501,0.708,968.19,7.916,5.598,1571.297,1173.594,1.001
"channel_contribution_original_scale[2022-04-03T00:00:00.000000000, tv_spend]",1455.954,1246.588,0.349,3692.248,31.701,23.691,1357.855,1184.383,1.001
"channel_contribution_original_scale[2022-04-03T00:00:00.000000000, digital_spend]",486.066,572.657,0.323,1304.302,12.457,9.061,1587.453,901.421,0.999
"channel_contribution_original_scale[2022-04-03T00:00:00.000000000, social_spend]",3206.108,1984.932,6.424,6565.213,62.536,44.232,811.419,931.801,1.001
"channel_contribution_original_scale[2022-04-03T00:00:00.000000000, search_spend]",2160.315,1341.317,2.079,4493.821,35.695,25.245,1230.574,1019.419,1.0
"channel_contribution_original_scale[2022-04-03T00:00:00.000000000, radio_spend]",313.712,307.676,0.67,830.92,6.673,4.786,1615.333,1173.188,1.001
"channel_contribution_original_scale[2022-04-10T00:00:00.000000000, tv_spend]",1192.481,1126.871,0.282,3138.412,28.805,22.013,1372.701,1169.654,1.001
"channel_contribution_original_scale[2022-04-10T00:00:00.000000000, digital_spend]",939.487,814.133,1.522,2203.212,17.195,12.619,1517.918,843.848,0.999
"channel_contribution_original_scale[2022-04-10T00:00:00.000000000, social_spend]",2209.365,1871.094,2.26,5405.553,53.084,37.545,845.338,880.367,1.0
"channel_contribution_original_scale[2022-04-10T00:00:00.000000000, search_spend]",1903.334,1303.195,1.844,4197.105,34.706,24.546,1172.689,1031.38,1.0
"channel_contribution_original_scale[2022-04-10T00:00:00.000000000, radio_spend]",179.803,217.101,0.276,533.025,4.746,3.421,1637.919,1234.592,1.0
"channel_contribution_original_scale[2022-04-17T00:00:00.000000000, tv_spend]",1346.499,1132.736,0.326,3301.737,28.898,21.958,1388.944,1166.264,1.001
"channel_contribution_original_scale[2022-04-17T00:00:00.000000000, digital_spend]",578.54,617.816,0.384,1460.161,13.206,9.736,1558.889,918.687,0.999
"channel_contribution_original_scale[2022-04-17T00:00:00.000000000, social_spend]",1382.683,1604.053,0.653,4112.64,42.045,29.736,913.035,924.423,1.001
"channel_contribution_original_scale[2022-04-17T00:00:00.000000000, search_spend]",2482.976,1453.984,2.409,4995.48,38.914,27.522,1243.436,1019.157,1.0
"channel_contribution_original_scale[2022-04-17T00:00:00.000000000, radio_spend]",189.757,194.134,0.412,502.814,4.153,3.036,1653.329,1187.853,1.001
"channel_contribution_original_scale[2022-04-24T00:00:00.000000000, tv_spend]",1101.365,1034.316,0.269,2859.036,26.547,20.416,1380.242,1169.654,1.001
"channel_contribution_original_scale[2022-04-24T00:00:00.000000000, digital_spend]",586.354,595.708,0.364,1441.697,12.686,9.365,1546.586,871.127,0.999
"channel_contribution_original_scale[2022-04-24T00:00:00.000000000, social_spend]",1358.924,1424.236,1.174,3676.704,37.14,26.267,926.31,831.495,1.0
"channel_contribution_original_scale[2022-04-24T00:00:00.000000000, search_spend]",2151.295,1445.617,2.111,4688.091,38.933,27.536,1158.98,1025.156,1.0
"channel_contribution_original_scale[2022-04-24T00:00:00.000000000, radio_spend]",755.102,598.338,2.289,1827.847,12.753,9.019,1549.471,1119.317,1.0
"channel_contribution_original_scale[2022-05-01T00:00:00.000000000, tv_spend]",1145.733,1030.354,0.283,2865.143,26.468,20.378,1389.689,1181.526,1.001
"channel_contribution_original_scale[2022-05-01T00:00:00.000000000, digital_spend]",924.89,801.706,1.53,2157.428,16.929,12.425,1517.689,843.848,0.999
"channel_contribution_original_scale[2022-05-01T00:00:00.000000000, social_spend]",1752.998,1493.657,2.309,4182.165,40.566,28.691,897.634,906.445,1.0
"channel_contribution_original_scale[2022-05-01T00:00:00.000000000, search_spend]",1504.907,1252.286,1.075,3747.377,32.935,23.293,1106.714,911.793,1.0
"channel_contribution_original_scale[2022-05-01T00:00:00.000000000, radio_spend]",702.271,578.989,1.834,1744.093,12.732,9.004,1509.74,1203.391,1.0
"channel_contribution_original_scale[2022-05-08T00:00:00.000000000, tv_spend]",1260.46,1071.484,0.314,3042.105,27.423,21.008,1392.808,1126.631,1.001
"channel_contribution_original_scale[2022-05-08T00:00:00.000000000, digital_spend]",963.481,839.202,0.623,2265.617,17.763,13.039,1522.935,835.766,0.999
"channel_contribution_original_scale[2022-05-08T00:00:00.000000000, social_spend]",2864.369,1844.761,5.599,6023.335,57.142,40.417,814.525,941.383,1.001
"channel_contribution_original_scale[2022-05-08T00:00:00.000000000, search_spend]",1336.75,1087.136,1.106,3336.771,27.848,19.695,1201.39,1104.784,1.0
"channel_contribution_original_scale[2022-05-08T00:00:00.000000000, radio_spend]",612.098,529.508,1.461,1535.689,11.666,8.251,1530.028,1159.564,1.0
"channel_contribution_original_scale[2022-05-15T00:00:00.000000000, tv_spend]",918.898,936.071,0.223,2516.211,24.145,18.771,1374.281,1169.802,1.001
"channel_contribution_original_scale[2022-05-15T00:00:00.000000000, digital_spend]",615.634,646.669,0.42,1547.584,13.83,10.193,1555.778,914.699,0.999
"channel_contribution_original_scale[2022-05-15T00:00:00.000000000, social_spend]",1906.095,1678.416,3.122,4712.136,47.659,33.708,836.005,855.418,1.0
"channel_contribution_original_scale[2022-05-15T00:00:00.000000000, search_spend]",1605.391,1053.024,1.47,3463.93,27.115,19.177,1285.428,1029.924,1.0
"channel_contribution_original_scale[2022-05-15T00:00:00.000000000, radio_spend]",404.924,399.176,0.779,1106.662,8.797,6.221,1560.381,1173.594,1.001
"channel_contribution_original_scale[2022-05-22T00:00:00.000000000, tv_spend]",1573.976,1161.251,0.38,3516.719,29.109,21.824,1398.325,1126.631,1.001
"channel_contribution_original_scale[2022-05-22T00:00:00.000000000, digital_spend]",1330.226,1049.537,0.867,3049.145,22.73,16.075,1504.701,815.152,0.999
"channel_contribution_original_scale[2022-05-22T00:00:00.000000000, social_spend]",2083.161,1667.49,2.715,4837.79,47.398,33.524,853.241,848.795,1.0
"channel_contribution_original_scale[2022-05-22T00:00:00.000000000, search_spend]",2969.063,1581.877,4.723,5557.553,42.544,30.09,1274.896,1048.392,1.0
"channel_contribution_original_scale[2022-05-22T00:00:00.000000000, radio_spend]",513.252,447.722,1.287,1285.171,9.694,6.856,1591.397,1203.206,1.0
"channel_contribution_original_scale[2022-05-29T00:00:00.000000000, tv_spend]",967.625,967.677,0.24,2604.932,24.833,19.141,1361.134,1098.004,1.0
"channel_contribution_original_scale[2022-05-29T00:00:00.000000000, digital_spend]",1456.488,1141.278,1.034,3374.648,24.829,17.559,1504.967,820.864,0.999
"channel_contribution_original_scale[2022-05-29T00:00:00.000000000, social_spend]",1346.339,1409.163,1.064,3582.943,38.029,26.896,860.194,819.228,1.0
"channel_contribution_original_scale[2022-05-29T00:00:00.000000000, search_spend]",3021.599,1748.742,4.417,5964.762,48.424,34.249,1171.354,998.843,1.0
"channel_contribution_original_scale[2022-05-29T00:00:00.000000000, radio_spend]",884.051,708.346,3.367,2150.862,15.332,10.843,1518.321,1187.861,1.0
"channel_contribution_original_scale[2022-06-05T00:00:00.000000000, tv_spend]",764.438,834.032,0.176,2200.636,21.615,16.868,1378.402,1154.487,1.001
"channel_contribution_original_scale[2022-06-05T00:00:00.000000000, digital_spend]",1289.377,1063.279,0.929,3040.501,22.846,16.35,1517.285,847.249,0.999
"channel_contribution_original_scale[2022-06-05T00:00:00.000000000, social_spend]",2749.824,1803.915,5.225,5857.772,55.555,39.294,816.872,931.801,1.001
"channel_contribution_original_scale[2022-06-05T00:00:00.000000000, search_spend]",2057.292,1577.684,0.859,4824.096,42.924,30.358,1070.628,905.002,1.0
"channel_contribution_original_scale[2022-06-05T00:00:00.000000000, radio_spend]",470.234,474.596,0.839,1318.01,10.647,7.53,1512.883,1218.589,1.001
"channel_contribution_original_scale[2022-06-12T00:00:00.000000000, tv_spend]",1218.405,970.101,1.062,2799.592,24.608,18.849,1412.595,1126.631,1.001
"channel_contribution_original_scale[2022-06-12T00:00:00.000000000, digital_spend]",1257.25,1043.513,0.888,2983.933,22.349,16.184,1522.397,847.249,0.999
"channel_contribution_original_scale[2022-06-12T00:00:00.000000000, social_spend]",2775.342,1881.61,4.654,5978.677,58.069,41.073,808.791,937.675,1.001
"channel_contribution_original_scale[2022-06-12T00:00:00.000000000, search_spend]",1544.826,1281.572,1.194,3847.206,33.734,23.859,1128.529,1163.178,1.0
"channel_contribution_original_scale[2022-06-12T00:00:00.000000000, radio_spend]",499.666,460.107,1.572,1285.957,9.935,7.061,1589.402,1188.189,1.0
"channel_contribution_original_scale[2022-06-19T00:00:00.000000000, tv_spend]",1601.991,1186.495,1.519,3612.428,29.772,22.231,1389.444,1126.631,1.001
"channel_contribution_original_scale[2022-06-19T00:00:00.000000000, digital_spend]",1249.204,1037.668,0.871,2968.787,22.197,16.085,1523.276,843.402,0.999
"channel_contribution_original_scale[2022-06-19T00:00:00.000000000, social_spend]",2050.807,1768.731,6.361,5046.644,49.585,35.07,854.819,857.899,1.0
"channel_contribution_original_scale[2022-06-19T00:00:00.000000000, search_spend]",2549.844,1483.334,3.554,5112.399,39.291,27.788,1283.609,1052.904,1.0
"channel_contribution_original_scale[2022-06-19T00:00:00.000000000, radio_spend]",1130.12,898.596,3.055,2722.312,19.735,13.957,1469.597,1189.486,1.0
"channel_contribution_original_scale[2022-06-26T00:00:00.000000000, tv_spend]",1466.644,1180.11,0.357,3533.305,29.894,22.444,1375.405,1156.099,1.001
"channel_contribution_original_scale[2022-06-26T00:00:00.000000000, digital_spend]",1420.032,1127.89,1.002,3322.831,24.388,17.247,1515.443,820.864,0.999
"channel_contribution_original_scale[2022-06-26T00:00:00.000000000, social_spend]",2667.38,1846.626,4.336,5821.03,55.296,39.11,835.638,936.967,1.001
"channel_contribution_original_scale[2022-06-26T00:00:00.000000000, search_spend]",2733.142,1674.965,2.65,5644.501,45.156,31.937,1205.159,1041.767,1.0
"channel_contribution_original_scale[2022-06-26T00:00:00.000000000, radio_spend]",907.179,765.581,3.425,2278.872,17.115,12.104,1467.401,1209.33,1.0
"channel_contribution_original_scale[2022-07-03T00:00:00.000000000, tv_spend]",1325.673,1133.3,0.324,3293.507,28.875,21.863,1384.503,1181.013,1.001
"channel_contribution_original_scale[2022-07-03T00:00:00.000000000, digital_spend]",1339.802,1093.366,0.957,3170.704,23.489,16.754,1520.312,835.987,0.999
"channel_contribution_original_scale[2022-07-03T00:00:00.000000000, social_spend]",2099.635,1744.907,2.428,5004.521,49.511,35.018,848.503,845.965,1.0
"channel_contribution_original_scale[2022-07-03T00:00:00.000000000, search_spend]",4191.172,2322.126,4.168,8087.327,64.696,45.758,1180.557,958.816,1.0
"channel_contribution_original_scale[2022-07-03T00:00:00.000000000, radio_spend]",528.701,548.668,2.2,1535.586,12.343,8.729,1536.362,1234.281,1.001
"channel_contribution_original_scale[2022-07-10T00:00:00.000000000, tv_spend]",1216.389,1088.041,0.297,3065.225,27.838,21.279,1384.819,1170.298,1.001
"channel_contribution_original_scale[2022-07-10T00:00:00.000000000, digital_spend]",851.279,854.047,0.609,2178.458,18.263,13.516,1569.816,915.165,0.999
"channel_contribution_original_scale[2022-07-10T00:00:00.000000000, social_spend]",2606.916,1830.18,4.155,5741.216,54.553,38.585,837.576,936.967,1.0
"channel_contribution_original_scale[2022-07-10T00:00:00.000000000, search_spend]",3243.609,2215.151,3.288,7076.974,61.167,43.261,1100.828,1003.436,1.0
"channel_contribution_original_scale[2022-07-10T00:00:00.000000000, radio_spend]",726.468,623.083,1.83,1824.652,13.326,9.424,1557.731,1250.57,1.0
"channel_contribution_original_scale[2022-07-17T00:00:00.000000000, tv_spend]",1106.648,1009.76,0.273,2825.964,25.906,19.908,1390.781,1170.298,1.001
"channel_contribution_original_scale[2022-07-17T00:00:00.000000000, digital_spend]",882.203,823.445,0.573,2167.539,17.388,12.921,1543.092,870.524,0.999
"channel_contribution_original_scale[2022-07-17T00:00:00.000000000, social_spend]",2134.927,1755.34,2.528,5087.978,49.635,35.106,853.864,845.965,1.0
"channel_contribution_original_scale[2022-07-17T00:00:00.000000000, search_spend]",2465.487,1878.528,2.336,5797.898,50.18,35.49,1119.227,1036.359,1.0
"channel_contribution_original_scale[2022-07-17T00:00:00.000000000, radio_spend]",318.903,411.032,0.366,1006.787,9.109,6.469,1589.395,1250.205,1.0
"channel_contribution_original_scale[2022-07-24T00:00:00.000000000, tv_spend]",1772.895,1298.015,0.401,3955.128,32.649,24.191,1378.753,1086.631,1.001
"channel_contribution_original_scale[2022-07-24T00:00:00.000000000, digital_spend]",1930.601,1421.888,1.454,4433.932,31.745,22.45,1484.497,797.726,0.999
"channel_contribution_original_scale[2022-07-24T00:00:00.000000000, social_spend]",1953.779,1678.992,3.009,4747.896,46.014,32.544,875.993,763.906,1.0
"channel_contribution_original_scale[2022-07-24T00:00:00.000000000, search_spend]",2397.154,1700.77,2.314,5435.432,44.757,31.655,1179.119,1083.452,1.0
"channel_contribution_original_scale[2022-07-24T00:00:00.000000000, radio_spend]",443.266,412.685,1.059,1138.123,8.829,6.362,1624.131,1234.128,1.0
"channel_contribution_original_scale[2022-07-31T00:00:00.000000000, tv_spend]",1605.988,1292.993,0.374,3880.208,32.864,24.466,1362.871,1156.099,1.001
"channel_contribution_original_scale[2022-07-31T00:00:00.000000000, digital_spend]",817.519,901.824,0.668,2295.9,19.359,14.378,1569.857,941.064,1.0
"channel_contribution_original_scale[2022-07-31T00:00:00.000000000, social_spend]",1601.223,1518.589,1.593,4052.247,41.039,29.025,879.764,788.75,1.0
"channel_contribution_original_scale[2022-07-31T00:00:00.000000000, search_spend]",2146.284,1643.302,1.998,5119.88,42.526,30.076,1183.786,1072.626,1.0
"channel_contribution_original_scale[2022-07-31T00:00:00.000000000, radio_spend]",676.309,562.013,1.844,1662.578,12.072,8.537,1571.676,1173.195,1.0
"channel_contribution_original_scale[2022-08-07T00:00:00.000000000, tv_spend]",1287.424,1178.029,0.307,3319.18,30.085,22.871,1367.219,1169.802,1.001
"channel_contribution_original_scale[2022-08-07T00:00:00.000000000, digital_spend]",816.971,802.651,0.549,2044.189,17.213,12.667,1560.48,909.357,0.999
"channel_contribution_original_scale[2022-08-07T00:00:00.000000000, social_spend]",2007.611,1591.939,7.776,4645.456,44.946,31.789,861.972,924.796,1.001
"channel_contribution_original_scale[2022-08-07T00:00:00.000000000, search_spend]",2869.473,1807.043,2.658,6029.109,47.39,33.516,1252.784,1058.896,1.0
"channel_contribution_original_scale[2022-08-07T00:00:00.000000000, radio_spend]",659.339,562.57,1.661,1639.697,12.276,8.681,1545.086,1218.551,1.0
"channel_contribution_original_scale[2022-08-14T00:00:00.000000000, tv_spend]",1077.394,1050.12,0.256,2877.115,26.962,20.79,1378.313,1169.654,1.001
"channel_contribution_original_scale[2022-08-14T00:00:00.000000000, digital_spend]",1383.823,1090.725,0.92,3267.346,23.583,16.678,1514.538,821.328,0.999
"channel_contribution_original_scale[2022-08-14T00:00:00.000000000, social_spend]",1879.118,1575.171,2.374,4477.574,43.917,31.061,854.49,848.012,1.001
"channel_contribution_original_scale[2022-08-14T00:00:00.000000000, search_spend]",2290.152,1649.254,2.17,5225.014,43.266,30.6,1166.267,1025.739,1.0
"channel_contribution_original_scale[2022-08-14T00:00:00.000000000, radio_spend]",730.132,607.798,1.889,1825.784,13.249,9.37,1533.249,1218.551,1.0
"channel_contribution_original_scale[2022-08-21T00:00:00.000000000, tv_spend]",1538.128,1195.178,0.367,3542.71,30.31,22.833,1389.701,1126.631,1.001
"channel_contribution_original_scale[2022-08-21T00:00:00.000000000, digital_spend]",857.443,835.912,0.604,2164.828,17.63,13.178,1555.305,915.498,0.999
"channel_contribution_original_scale[2022-08-21T00:00:00.000000000, social_spend]",2034.585,1608.491,2.834,4699.383,46.086,32.595,844.747,903.5,1.0
"channel_contribution_original_scale[2022-08-21T00:00:00.000000000, search_spend]",2084.896,1509.274,1.95,4796.635,39.159,27.695,1197.422,1059.611,1.0
"channel_contribution_original_scale[2022-08-21T00:00:00.000000000, radio_spend]",828.336,681.132,2.157,2067.313,14.897,10.535,1513.321,1188.205,1.0
"channel_contribution_original_scale[2022-08-28T00:00:00.000000000, tv_spend]",1874.179,1383.164,0.41,4234.738,34.877,25.585,1362.62,1086.631,1.001
"channel_contribution_original_scale[2022-08-28T00:00:00.000000000, digital_spend]",1222.272,1001.792,0.808,2856.447,21.433,15.45,1519.762,813.589,0.999
"channel_contribution_original_scale[2022-08-28T00:00:00.000000000, social_spend]",1283.829,1373.682,0.986,3466.569,36.852,26.064,867.641,819.228,1.0
"channel_contribution_original_scale[2022-08-28T00:00:00.000000000, search_spend]",1534.52,1145.206,1.486,3563.98,30.164,21.333,1153.922,1085.916,1.0
"channel_contribution_original_scale[2022-08-28T00:00:00.000000000, radio_spend]",739.721,635.308,1.781,1878.021,14.006,9.905,1516.541,1173.812,1.0
"channel_contribution_original_scale[2022-09-04T00:00:00.000000000, tv_spend]",1941.278,1466.967,1.812,4558.024,37.098,26.976,1349.051,1086.631,1.0
"channel_contribution_original_scale[2022-09-04T00:00:00.000000000, digital_spend]",1053.958,923.822,1.838,2575.627,19.567,14.414,1533.451,843.402,0.999
"channel_contribution_original_scale[2022-09-04T00:00:00.000000000, social_spend]",2327.479,1662.265,3.926,5062.869,49.291,34.863,831.827,907.877,1.001
"channel_contribution_original_scale[2022-09-04T00:00:00.000000000, search_spend]",2218.277,1311.633,2.112,4469.312,34.607,24.476,1282.194,1059.073,1.0
"channel_contribution_original_scale[2022-09-04T00:00:00.000000000, radio_spend]",708.606,612.837,2.451,1783.58,13.46,9.519,1533.251,1218.828,1.0
"channel_contribution_original_scale[2022-09-11T00:00:00.000000000, tv_spend]",1274.109,1266.113,0.292,3543.815,32.228,24.442,1346.989,1098.004,1.0
"channel_contribution_original_scale[2022-09-11T00:00:00.000000000, digital_spend]",791.881,779.595,0.535,1972.087,16.631,12.272,1556.592,909.767,0.999
"channel_contribution_original_scale[2022-09-11T00:00:00.000000000, social_spend]",2817.965,1852.706,5.162,5998.816,57.873,40.934,796.67,946.45,1.002
"channel_contribution_original_scale[2022-09-11T00:00:00.000000000, search_spend]",1760.167,1263.525,1.699,3995.202,33.582,23.751,1149.332,1049.293,1.0
"channel_contribution_original_scale[2022-09-11T00:00:00.000000000, radio_spend]",634.88,567.992,1.469,1626.118,12.326,8.717,1549.505,1188.421,1.0
"channel_contribution_original_scale[2022-09-18T00:00:00.000000000, tv_spend]",1230.715,1150.101,0.287,3206.881,29.436,22.521,1379.765,1170.788,1.001
"channel_contribution_original_scale[2022-09-18T00:00:00.000000000, digital_spend]",411.548,537.702,0.289,1172.099,11.803,8.525,1622.363,899.148,1.0
"channel_contribution_original_scale[2022-09-18T00:00:00.000000000, social_spend]",2283.835,1789.85,2.899,5315.28,52.65,37.238,826.369,845.965,1.0
"channel_contribution_original_scale[2022-09-18T00:00:00.000000000, search_spend]",2109.334,1313.487,2.011,4394.588,34.741,24.57,1243.421,1019.157,1.0
"channel_contribution_original_scale[2022-09-18T00:00:00.000000000, radio_spend]",341.352,402.32,1.249,1036.188,8.885,6.312,1601.403,1237.626,1.0
"channel_contribution_original_scale[2022-09-25T00:00:00.000000000, tv_spend]",1125.252,1066.802,0.269,2943.74,27.416,21.12,1383.789,1170.788,1.001
"channel_contribution_original_scale[2022-09-25T00:00:00.000000000, digital_spend]",914.382,796.337,1.47,2145.231,16.81,12.354,1517.711,843.848,0.999
"channel_contribution_original_scale[2022-09-25T00:00:00.000000000, social_spend]",3160.825,1974.745,6.201,6502.856,62.101,43.924,809.787,931.801,1.001
"channel_contribution_original_scale[2022-09-25T00:00:00.000000000, search_spend]",3444.904,1867.244,3.399,6561.333,51.033,36.094,1230.139,939.564,1.0
"channel_contribution_original_scale[2022-09-25T00:00:00.000000000, radio_spend]",820.109,664.158,2.294,2021.944,14.257,10.083,1548.539,1187.861,1.0
"channel_contribution_original_scale[2022-10-02T00:00:00.000000000, tv_spend]",1193.532,1060.723,0.294,2949.614,27.236,20.942,1389.878,1166.264,1.001
"channel_contribution_original_scale[2022-10-02T00:00:00.000000000, digital_spend]",687.138,678.771,0.443,1673.515,14.408,10.658,1541.721,874.94,0.999
"channel_contribution_original_scale[2022-10-02T00:00:00.000000000, social_spend]",3265.466,2051.723,6.139,6816.699,64.464,45.596,814.526,905.098,1.001
"channel_contribution_original_scale[2022-10-02T00:00:00.000000000, search_spend]",2300.37,1638.764,1.702,5147.206,45.495,32.177,1057.314,872.241,1.0
"channel_contribution_original_scale[2022-10-02T00:00:00.000000000, radio_spend]",585.95,531.093,1.312,1517.006,11.604,8.206,1527.657,1173.514,1.0
"channel_contribution_original_scale[2022-10-09T00:00:00.000000000, tv_spend]",1666.908,1262.987,0.387,3800.665,31.987,23.916,1378.004,1126.631,1.001
"channel_contribution_original_scale[2022-10-09T00:00:00.000000000, digital_spend]",854.118,767.095,1.425,2032.498,16.149,11.951,1527.499,835.766,0.999
"channel_contribution_original_scale[2022-10-09T00:00:00.000000000, social_spend]",2804.831,2005.056,10.726,6369.841,59.625,42.172,837.926,838.047,1.0
"channel_contribution_original_scale[2022-10-09T00:00:00.000000000, search_spend]",3293.816,1904.369,3.264,6512.241,51.861,36.679,1203.317,967.523,1.0
"channel_contribution_original_scale[2022-10-09T00:00:00.000000000, radio_spend]",744.449,621.505,1.935,1853.305,13.503,9.55,1544.81,1218.828,1.0
"channel_contribution_original_scale[2022-10-16T00:00:00.000000000, tv_spend]",2085.067,1496.779,0.427,4630.669,37.682,27.183,1351.898,1086.631,1.001
"channel_contribution_original_scale[2022-10-16T00:00:00.000000000, digital_spend]",1125.845,934.22,0.728,2626.844,19.926,14.41,1515.51,821.328,0.999
"channel_contribution_original_scale[2022-10-16T00:00:00.000000000, social_spend]",2969.812,2001.468,4.751,6479.698,60.185,42.568,844.762,960.388,1.0
